Word,中文,詞性,例句,中文說明,EN,US
gain,（尤指經過一段時間逐漸）取得，獲得，贏得，博得,verb,The mayor has gained a lot of support from the teacher's union.,市長已經獲得教師工會很多人的支持。,/ɡeɪn/,/ɡeɪn/
gallon,加侖,noun,How much does a gallon of petrol cost?,一加侖汽油要花多少錢？,/ˈɡælən/,/ˈɡælən/
gamble,投機;冒險,verb,Anyone who gambles on the stock exchange has to be prepared to lose money.,任何進行股票投機的人都必須要做好賠錢的準備。,/ˈɡæmbl/,/ˈɡæmbl/
gambling,賭博，打賭,noun,Gambling can be an addictive habit.,賭博是一種可以使人上癮的習慣。,/ˈɡæmblɪŋ/,/ˈɡæmblɪŋ/
game,（尤指兒童玩的）遊戲，運動；遊戲用具，運動器具,noun,a board game,棋類遊戲,/ɡeɪm/,/ɡeɪm/
gap,缺口;豁口;裂口,noun,The children squeezed through a gap in the wall.,孩子們從牆的一個缺口處硬擠了過去。,/ɡæp/,/ɡæp/
garage,車庫，汽車房,noun,Did you put the car in the garage?,你把車停到車庫裡了嗎？,/ˈɡærɑːʒ/,/ˈɡærɑːdʒ/
garbage,垃圾，廢物,noun,He talks a lot of garbage about education.,他廢話連篇地大談自己對教育的看法。,/ˈɡɑːbɪdʒ/,/ˈɡɑːrbɪdʒ/
garden,（住宅旁的）花園,noun,garden tools/furniture,園藝工具／花園用傢俱,/ˈɡɑːdn/,/ˈɡɑːrdn/
gas,氣，氣體,noun,"Oxygen, hydrogen, and nitrogen are all gases.",氧氣、氫氣和氮氣都是氣體。,/ɡæs/,/ɡæs/
gate,（通常由金屬條或木頭條板做的）大門，柵欄門，圍牆門,noun,The lift won't move if the safety gate isn't shut properly.,如果防護門沒有關好，電梯不會開動。,/ɡeɪt/,/ɡeɪt/
gather,收集，搜集;聚集，集攏,verb,I went to several libraries to gather information about the plans.,我去了數家圖書館去搜集有關這一計劃的資料。,/ˈɡæðə(r)/,/ˈɡæðər/
gear,檔，排檔；傳動裝置,noun,Does your car have five or six gears?,你的車是四檔的還是五檔的？,/ɡɪə(r)/,/ɡɪr/
general,全體的，總的，普遍的,adjective,The general feeling is that justice was not served.,普遍的看法是這樣做沒有達成公平合理。,/ˈdʒenrəl/,/ˈdʒenrəl/
generally,大體上，總體上,adverb,"Your health is generally good, but you do have a few minor problems.",大體上，你身體狀況不錯，但有些小毛病。,/ˈdʒenrəli/,/ˈdʒenrəli/
generate,造成，引起;使存在,verb,Her latest film has generated a lot of interest/excitement.,她最近的一部影片引起了廣泛的興趣／使眾多觀眾很是興奮。,/ˈdʒenəreɪt/,/ˈdʒenəreɪt/
generation,（社會或家庭的）一代（人），同代人，同輩人,noun,The younger generation smokes less than their parents did.,年輕的一代比他們父母這一代人吸煙要少。,/ˌdʒenəˈreɪʃn/,/ˌdʒenəˈreɪʃn/
generous,（尤指超乎一般或期望地）慷慨的，大方的;寬宏大量的，仁慈的,adjective,a very generous man,非常慷慨的人,/ˈdʒenərəs/,/ˈdʒenərəs/
generously,慷慨地，大方地;仁慈地,adverb,Please give generously to charity.,請為慈善事業慷慨解囊。,/ˈdʒenərəsli/,/ˈdʒenərəsli/
gentle,文靜的;和藹的;溫柔的,adjective,a gentle smile,和藹的微笑,/ˈdʒentl/,/ˈdʒentl/
gentleman,先生（對男士的禮貌稱呼）,noun,"Ladies and gentlemen, the show is about to begin.",各位先生女士，演出就要開始了。,/ˈdʒentlmən/,/ˈdʒentlmən/
gently,文靜地;和藹地;溫柔地,adverb,He lifted the baby gently out of its crib.,他輕輕地把寶寶從嬰兒床裡抱出來。,/ˈdʒentli/,/ˈdʒentli/
genuine,真正的；非僞造的；名副其實的,adjective,genuine leather,真皮,/ˈdʒenjuɪn/,/ˈdʒenjuɪn/
genuinely,確實;的確,adverb,I'm genuinely sorry for what I said.,我對我説過的話表示真誠的歉意，真的很對不起。,/ˈdʒenjuɪnli/,/ˈdʒenjuɪnli/
geography,地理；地理學,noun,the geography of Australia,澳大利亞地形,/dʒiˈɒɡrəfi/,/dʒiˈɑːɡrəfi/
get,獲得，得到;買到;賺得，贏得,verb,He went to the shop to get some milk.,他到那家小店買牛奶去了。,/ɡet/,/ɡet/
get away,走開，離開;逃脫,phrasal verb,We walked to the next beach to get away from the crowds.,為了避開人群，我們向另一片海灘走去。,,
get away with,做（錯事）而未被懲罰，做（壞事）而未被發覺,phrasal verb,"If I thought I could get away with it, I wouldn't pay my taxes at all.",如果我認為逃稅可以不受處罰的話，我就乾脆一分錢都不交了。,,
get back,回來，返回,phrasal verb,"If you get back in time, you can come with us.",如果你能及時趕回來，你就可以跟我們一起去。,,
get by,勉強過活，勉強應付過去,phrasal verb,How can he get by on so little money?,他是怎樣靠那一點兒錢維持生計的？,,
get in,（尤指用武力或欺騙手段）進入,phrasal verb,They must have got in through the bathroom window.,他們一定是從浴室窗戶進去的。,,
get into,支配（某人）;使（某人）行為異常,phrasal verb,I can't think what's got into him. He doesn't usually get so angry.,我真想不出他這是中了甚麼邪，他平時可不會氣成這樣的。,,
get off,（通常指為開始旅程而）離去，離開，出發,phrasal verb,"If we can get off by seven o'clock, the roads will be clearer.",如果我們可以在七點前走，路上會比較少車。,,
get on,相處融洽;和睦相處,phrasal verb,I don't really get along with my sister's husband.,我和我姐夫不太合得來。,,
