Word,中文,詞性,例句,中文說明,EN,US
nail,釘，釘子,noun,a three-inch nail,三英寸長的釘子,/neɪl/,/neɪl/
naked,未穿衣的，裸體的,adjective,a naked man,赤裸身體的男子,/ˈneɪkɪd/,/ˈneɪkɪd/
name,名字，名稱,noun,"""Hi, what's your name?"" ""My name's Diane.""",「嗨！你叫甚麼名字？｣ 「我叫戴安娜。｣,/neɪm/,/neɪm/
narrow,（尤指與長度相比）狹窄的,adjective,a narrow bridge/passage/gap,狹窄的橋樑／通道／縫隙,/ˈnærəʊ/,/ˈnærəʊ/
nation,國家,noun,All the nations of the world will be represented at the conference.,會上將有各國代表。,/ˈneɪʃn/,/ˈneɪʃn/
national,國家的，國民的,adjective,a national holiday,全國性假日,/ˈnæʃnəl/,/ˈnæʃnəl/
natural,天然的，非人為的;非人造的,adjective,a natural substance,自然物質,/ˈnætʃrəl/,/ˈnætʃrəl/
naturally,自然地,adverb,A healthy body will be able to fight off the illness naturally without the use of medicine.,健康的身體無需藥物，自身便能抵禦疾病。,/ˈnætʃrəli/,/ˈnætʃrəli/
nature,大自然，自然界,noun,her love of nature,她對自然界的熱愛,/ˈneɪtʃə(r)/,/ˈneɪtʃər/
navy,海軍,noun,My brother is an officer in the Navy.,我兄弟是海軍軍官。,/ˈneɪvi/,/ˈneɪvi/
near,（離…）不遠，靠近（地）,adverb,Is there a restaurant near here?,這附近有餐館嗎？,/nɪə(r)/,/nɪr/
nearby,在附近;附近地,adverb,"If there's a café nearby, we could stop for a snack.",如果附近有小餐館的話，我們可以停下來吃點東西。,/ˌnɪəˈbaɪ/,/ˌnɪrˈbaɪ/
nearly,幾乎，差不多，將近,adverb,It's been nearly three months since my last haircut.,從我上次理髮到現在，已經快三個月了。,/ˈnɪəli/,/ˈnɪrli/
neat,整潔的，整齊的;有序的,adjective,Your house is always so neat - how do you manage it?,你的房子總是這麼整潔——是怎麼做到的？,/niːt/,/niːt/
neatly,整潔地，整齊地,adverb,His clothes are all neatly folded in their drawers.,他的衣服都整齊地疊放在他們的抽屜裡。,/ˈniːtli/,/ˈniːtli/
necessarily,（用於否定句）不可避免地，必然地,adverb,The fact that something is cheap doesn't necessarily mean it's of low quality.,價廉未必物不美。,/ˌnesəˈserəli/,/ˈnesəsərəli/
necessary,必需的，不可或缺的,adjective,He lacks the necessary skills for the job.,他不具備做這項工作所需的技能。,/ˈnesəsəri/,/ˈnesəseri/
neck,頸，脖子,noun,He had the thickest neck I'd ever seen.,我從沒見過他那麼粗的脖子。,/nek/,/nek/
need,必須，需要,verb,Babies need constant care.,嬰兒時刻都需要人照顧。,/niːd/,/niːd/
needle,針，縫衣針,noun,a needle and thread,針線,/ˈniːdl/,/ˈniːdl/
negative,否定的;拒絕的,adjective,We received a negative answer to our request.,我們的請求遭到拒絕。,/ˈneɡətɪv/,/ˈneɡətɪv/
neighbour,鄰居,noun,Some of the neighbours have complained about the noise from our party.,有些鄰居已經抱怨過我們的聚會太喧鬧。,/ˈneɪbə(r)/,/ˈneɪbər/
neighbourhood,鄰近地區；住宅區，街區；街坊，四鄰,noun,There were lots of kids in my neighbourhood when I was growing up.,我是在有很多孩子的街區裡長大的。,/ˈneɪbəhʊd/,/ˈneɪbərhʊd/
neither,兩者皆非，兩者都不,determiner,"We've got two TVs, but neither works properly.",我們有兩台電視，但沒有一台是好的。,/ˈnaɪðə(r)/,/ˈniːðə(r)/
nephew,侄子;外甥,noun,,,/ˈnefjuː/,/ˈnevjuː/
nerve,神經,noun,the optic nerve,視神經,/nɜːv/,/nɜːrv/
nervous,擔心的;緊張不安的,adjective,Do you feel/get nervous during exams?,考試時你感到緊張嗎？,/ˈnɜːvəs/,/ˈnɜːrvəs/
