Word,中文,詞性,例句,中文說明,EN,US
qualification,合格證書，資格證明,noun,You'll never get a good job if you don't have any qualifications.,你要是沒有任何資格證明就永遠得不到一份好工作。,/ˌkwɒlɪfɪˈkeɪʃn/,/ˌkwɑːlɪfɪˈkeɪʃn/
qualified,有資格的;合格的，勝任的,adjective,Tim is now a qualified architect.,提姆現在是一個合格的建築師了。,/ˈkwɒlɪfaɪd/,/ˈkwɑːlɪfaɪd/
qualify,（使）具有資格，（使）合格,verb,She hopes to qualify (as a lawyer) at the end of the year.,她希望在年底取得（律師）資格。,/ˈkwɒlɪfaɪ/,/ˈkwɑːlɪfaɪ/
quality,質量，品級，品質,noun,a shop advertising top quality electrical goods,以高品質電器為口號的商店,/ˈkwɒləti/,/ˈkwɑːləti/
quantity,（尤指可測量或確定的）量，數量，分量,noun,Police found a large/small quantity of drugs in his possession.,警方發現他攜帶大/少量的毒品。,/ˈkwɒntəti/,/ˈkwɑːntəti/
quarter,四分之一,noun,He cut the orange into quarters.,他把柳橙切成了四塊。,/ˈkwɔːtə(r)/,/ˈkwɔːrtər/
queen,女王;王后,noun,How long did Queen Victoria reign?,維多利亞女王在位多長時間？,/kwiːn/,/kwiːn/
question,問題,noun,The police asked me questions all day.,員警盤問了我一整天。,/ˈkwestʃən/,/ˈkwestʃən/
quick,快的，迅速的;短暫的,adjective,It's a quick journey.,這次行程很短。,/kwɪk/,/kwɪk/
quickly,迅速地,adverb,We'll have to walk quickly to get there on time.,我們要走快一點才能準時趕到那兒。,/ˈkwɪkli/,/ˈkwɪkli/
quiet,靜的，安靜的;輕輕的,adjective,She spoke in a quiet voice so as not to wake him.,她輕聲說話，以免吵醒他。,/ˈkwaɪət/,/ˈkwaɪət/
quietly,安靜地，靜悄悄地,adverb,I slipped quietly out of the back door.,我悄悄地從後門溜了出去。,/ˈkwaɪətli/,/ˈkwaɪətli/
quit,停止;離開;辭職;放棄,verb,Would you quit your job if you inherited lots of money?,假如繼承了一大筆錢，你會辭掉工作嗎？,/kwɪt/,/kwɪt/
quite,完全地，徹底地,adverb,The two situations are quite different.,兩種情況截然不同。,/kwaɪt/,/kwaɪt/
quote,引用，引述，援引,verb,He's always quoting from the Bible.,他總是引用《聖經》上的話。,/kwəʊt/,/kwəʊt/
