Word,中文,詞性,例句,中文說明,EN,US
ugly,醜陋的，難看的,adjective,I think a lot of modern architecture is very ugly.,我覺得很多現代建築都非常難看。,/ˈʌɡli/,/ˈʌɡli/
ultimate,極端的;最重要的;最初（或終）的;最好（差）的,adjective,Of course the ultimate responsibility for the present conflict without doubt lies with the aggressor.,當然，挑起事端的一方毫無疑問應對目前的衝突承擔首要責任。,/ˈʌltɪmət/,/ˈʌltɪmət/
ultimately,最終，最後,adverb,Everything will ultimately depend on what is said at the meeting with the directors next week.,一切將最終取決於下週開會和董事們商議的結果。,/ˈʌltɪmətli/,/ˈʌltɪmətli/
umbrella,傘；雨傘；陽傘,noun,"I felt a few drops of rain, so I put my umbrella up.",我感到有幾滴雨點，於是便撐起了雨傘。,/ʌmˈbrelə/,/ʌmˈbrelə/
unable,不能做，無法做,adjective,We were unable to contact him at the time.,我們當時無法和他取得聯繫。,/ʌnˈeɪbl/,/ʌnˈeɪbl/
unacceptable,不能接受（或同意、允許）的,adjective,The teachers' union has described the latest pay offer as unacceptable.,工會稱最新的工資提議無法接受。,/ˌʌnəkˈseptəbl/,/ˌʌnəkˈseptəbl/
uncertain,拿不定主意的，猶豫的,adjective,She's uncertain whether to go to New Zealand or not.,她對是否去紐西蘭猶豫不決。,/ʌnˈsɜːtn/,/ʌnˈsɜːrtn/
uncle,舅父;伯父;叔父;姨父;姑父,noun,I have lots of uncles and aunts.,我有很多叔叔、舅舅、姑姑和姨媽。,/ˈʌŋkl/,/ˈʌŋkl/
uncomfortable,不舒服的；令人難受的,adjective,"I've eaten so much, I actually feel uncomfortable.",我吃了這麽多，實在感覺很不舒服。,/ʌnˈkʌmftəbl/,/ʌnˈkʌmfətəbl/
unconscious,（尤指因頭部受傷）昏迷的，不省人事的,adjective,She was hit on the head by a stone and knocked unconscious.,一塊石頭擊中了她的頭部，她昏了過去。,/ʌnˈkɒnʃəs/,/ʌnˈkɑːnʃəs/
uncontrolled,不受控制的;不加克制的,adjective,uncontrolled aggression,肆無忌憚的侵犯,/ˌʌnkənˈtrəʊld/,/ˌʌnkənˈtrəʊld/
under,在（或到）下面；在（或到）下方,preposition,He hid under the bed.,他躲在床底下。,/ˈʌndə(r)/,/ˈʌndər/
underground,在地下（的），在地面以下的,adjective,an underground cave/passage/cable,地下洞穴／通道／電纜,/ˌʌndəˈɡraʊnd/,/ˌʌndərˈɡraʊnd/
underneath,在…底下；在…下面,preposition,The tunnel goes right underneath the city.,隧道正好位於城下。,/ˌʌndəˈniːθ/,/ˌʌndərˈniːθ/
understand,理解;明白;懂得,verb,"She explained the whole idea again, but I still didn't understand.",她把整個想法又解釋了一遍，但我還是不明白。,/ˌʌndəˈstænd/,/ˌʌndərˈstænd/
understanding,理解;領悟;瞭解,noun,She doesn't have any understanding of politics/human nature/what it takes to be a good manager.,她對政治／人性／如何成爲一個好經理一無所知。,/ˌʌndəˈstændɪŋ/,/ˌʌndərˈstændɪŋ/
underwater,在水下（的）;（尤指）在海面下（的）,adjective,an underwater camera (= a camera that you can use underwater),水下攝像機,/ˌʌndəˈwɔːtə(r)/,/ˌʌndərˈwɔːtər/
underwear,内衣,noun,,,/ˈʌndəweə(r)/,/ˈʌndərwer/
undo,解開;打開;拆開,verb,Can someone help me to undo my seat belt?,有人能幫我解開安全帶嗎？,/ʌnˈduː/,/ʌnˈduː/
unemployed,失業的;待業的,adjective,He's been unemployed for over a year.,他失業一年多了。,/ˌʌnɪmˈplɔɪd/,/ˌʌnɪmˈplɔɪd/
unemployment,失業人數;失業率,noun,Unemployment has fallen/risen again for the third consecutive month.,失業人數連續第三個月上升／下降。,/ˌʌnɪmˈplɔɪmənt/,/ˌʌnɪmˈplɔɪmənt/
unexpected,出乎意料的，想不到的,adjective,Her resignation was completely unexpected.,她的辭職完全是個意外。,/ˌʌnɪkˈspektɪd/,/ˌʌnɪkˈspektɪd/
unexpectedly,出乎意料地,adverb,Their campaign was unexpectedly successful.,他們的競選出人意料地成功。,/ˌʌnɪkˈspektɪdli/,/ˌʌnɪkˈspektɪdli/
unfair,不公平的，不公正的;不正當的,adjective,an unfair system,不公平的制度,/ˌʌnˈfeə(r)/,/ˌʌnˈfer/
unfairly,不公平地，不公正地;不正當地,adverb,They claim the police treat minorities unfairly.,他們聲稱警察不公平地對待少數族裔。,/ˌʌnˈfeəli/,/ˌʌnˈferli/
unfortunate,不幸的，倒楣的,adjective,"She has inherited her father's large nose, which is very unfortunate.",她遺傳了父親的大鼻子，真是太不幸了。,/ʌnˈfɔːtʃənət/,/ʌnˈfɔːrtʃənət/
