Word,中文,詞性,例句,中文說明,EN,US
face,臉，面孔,noun,"She has a long, thin face.",她長著一張瘦長的臉。,/feɪs/,/feɪs/
face up to,接受，正視（困境）,phrasal verb,She's going to have to face up to the fact that he's not going to marry her.,她將不得不接受他不會娶她的事實。,,
facility,（尤指包含多個建築物，有特定用途的）場所,noun,a nuclear research facility,核研究中心,/fəˈsɪləti/,/fəˈsɪləti/
fact,現實，實際情況；（尤指）事實，真相,noun,No decision will be made until we know all the facts.,了解全部事實前我們不會作任何決定。,/fækt/,/fækt/
factor,因素；要素,noun,"People's voting habits are influenced by political, social and economic factors.",人們的選舉習慣受政治、社會和經濟因素的影響。,/ˈfæktə(r)/,/ˈfæktər/
factory,工廠,noun,a car/shoe/textile factory,汽車／製鞋／紡織廠,/ˈfæktri/,/ˈfæktəri/
fail,失敗；未能做到,verb,"She moved to London in the hope of finding work as a model, but failed.",她搬到倫敦，希望找份模特兒的工作，但沒找到。,/feɪl/,/feɪl/
failure,失敗；失敗的人（或事）,noun,The meeting was a complete/total failure.,這次會議是徹頭徹尾的失敗。,/ˈfeɪljə(r)/,/ˈfeɪljər/
faint,微弱的；不清晰的；微小的,adjective,a faint sound/noise/smell,微弱的聲音／隱約的聲響／淡淡的氣味,/feɪnt/,/feɪnt/
faintly,略微地；不強烈地,adverb,She seemed faintly embarrassed to see us there.,看到我們在那裡她似乎有點尷尬。,/ˈfeɪntli/,/ˈfeɪntli/
fair,合理的；公平的；公正的；平等待人的,adjective,a fair trial,公正的審訊,/feə(r)/,/fer/
fairly,相當地；一定程度地,adverb,She's fairly tall.,她個子比較高。,/ˈfeəli/,/ˈferli/
faith,信任;信心,noun,She has no faith in modern medicine.,她對現代醫學沒有信心。,/feɪθ/,/feɪθ/
faithful,忠誠的;忠實的,adjective,a faithful friend,忠誠的朋友,/ˈfeɪθfl/,/ˈfeɪθfl/
faithfully,忠誠地;忠實地,adverb,He served the family faithfully for 40 years.,他為這家人忠誠服務了40年。,/ˈfeɪθfəli/,/ˈfeɪθfəli/
fall,（突然）跌倒，摔倒,verb,"The path's very steep, so be careful you don't fall.",小路很陡，小心別摔倒。,/fɔːl/,/fɔːl/
FALSE,假的；人工的,adjective,false eyelashes/teeth,假睫毛／假牙,/fɔːls/,/fɔːls/
fame,名聲，名氣;聲譽，名望,noun,She first rose to fame as a singer at the age of 16.,她16歲時便作為歌手一舉成名。,/feɪm/,/feɪm/
familiar,熟悉的；常見的；常聽說,adjective,There were one or two familiar faces (= people I knew).,那裡有一兩張熟悉的面孔。,/fəˈmɪliə(r)/,/fəˈmɪliər/
family,家，家庭,noun,A new family has/have moved in next door.,隔壁新搬來一戶人家。,/ˈfæməli/,/ˈfæməli/
famous,著名的，出名的，有名的,adjective,a famous actress/building,著名的女演員／建築,/ˈfeɪməs/,/ˈfeɪməs/
